,lr,beta1,beta2,Training Loss for Epoch 1,Training Loss for Epoch 2,Training Loss for Epoch 3,Training Loss for Epoch 4,Training Loss for Epoch 5,Training Loss for Epoch 6,Training Loss for Epoch 7,Training Loss for Epoch 8,Training Loss for Epoch 9,Training Loss for Epoch 10,Validation Loss for Epoch 1,Validation Loss for Epoch 2,Validation Loss for Epoch 3,Validation Loss for Epoch 4,Validation Loss for Epoch 5,Validation Loss for Epoch 6,Validation Loss for Epoch 7,Validation Loss for Epoch 8,Validation Loss for Epoch 9,Validation Loss for Epoch 10
0,0.1,0.9,0.999,1.0990417003631592,0.5063567757606506,0.27095499634742737,0.15588440001010895,0.09343183785676956,0.05876355245709419,0.038910821080207825,0.027007661759853363,0.01951545663177967,0.014585881493985653,0.4777217209339142,0.24452994763851166,0.1385655254125595,0.08319676667451859,0.052813950926065445,0.035437729209661484,0.02499484457075596,0.01839366741478443,0.014024202711880207,0.011014193296432495
1,0.1,0.99,0.99,1.0985164642333984,0.5061938166618347,0.2708919644355774,0.15619510412216187,0.09339319169521332,0.05811607837677002,0.0377771332859993,0.025574052706360817,0.017923198640346527,0.012925134040415287,0.4775250256061554,0.24397507309913635,0.13823051750659943,0.08265825361013412,0.05187709629535675,0.034185297787189484,0.023561982437968254,0.01688186079263687,0.012494498863816261,0.009499228559434414
2,0.05,0.9,0.999,1.0988166332244873,0.7330493330955505,0.5007810592651367,0.35520073771476746,0.2593596577644348,0.1930360049009323,0.14577257633209229,0.1116529107093811,0.08684106916189194,0.06865010410547256,0.7151257395744324,0.4754432439804077,0.3291938006877899,0.2363523244857788,0.17430531978607178,0.13121122121810913,0.10059508681297302,0.0785270482301712,0.06241733953356743,0.05049746483564377
3,0.05,0.99,0.99,1.099023699760437,0.7333453297615051,0.5002032518386841,0.35414326190948486,0.2582823932170868,0.19198742508888245,0.14453265070915222,0.10998697578907013,0.08462691307067871,0.0658806785941124,0.7154729962348938,0.474598228931427,0.3274778723716736,0.23430635035037994,0.1721460372209549,0.1288796365261078,0.09796125441789627,0.07551402598619461,0.05902234464883804,0.046767253428697586
4,0.001,0.9,0.999,1.098361611366272,1.0896319150924683,1.0809580087661743,1.0723416805267334,1.063783884048462,1.0552856922149658,1.0468482971191406,1.0384727716445923,1.0301597118377686,1.0219101905822754,1.0891785621643066,1.0800775289535522,1.0710369348526,1.0620588064193726,1.0531443357467651,1.044295072555542,1.0355124473571777,1.0267980098724365,1.0181529521942139,1.0095782279968262
5,0.001,0.99,0.99,1.0990052223205566,1.0902694463729858,1.0815883874893188,1.0729625225067139,1.0643917322158813,1.0558769702911377,1.0474181175231934,1.0390154123306274,1.0306692123413086,1.0223796367645264,1.0898758172988892,1.080767035484314,1.071716070175171,1.0627233982086182,1.0537899732589722,1.0449156761169434,1.0361011028289795,1.027347207069397,1.018654227256775,1.0100224018096924
