										Geophysical Parameters	Crater Information	
Location												
Name	Date (GMT)	Time (GMT)*	Yield (kt)	Depth of Burial (m)	Latitude	Longitude	Surface Elevation (m)	Medium†	Water Level Depth (m)	Water Content (wt. %)	Density (g/cm3)	Gas Porosity (vol. %)	Velocity (m/sec)	Diameter (m)	Depth (m)	Volume (m3)	Collapse Time (h:m:s)	Test Area/Remarks‡
AKAVI	12/03/81	15:00:00.10	20-150	494	37.148	-116.072	1,293	T	580	17.1	1.69	14	2,100	181	20		1:42:30	Yucca
CABOC	12/16/81	21:05:00.09	<20	335	37.114	-116.124	1,348	T	595	18	1.61	16	1,920	45	7		1:00:00	Yucca
JOMADA	01/28/82	16:00:00.10	139	639	37.091	-116.052	1,233	T	507	16.6	1.99	0	2,405	400	27		0:42:30	Yucca
MOLBO	02/12/82	14:55:00.08	20-150	638	37.224	-116.464	1,873	R	614	7.7	2.14	6	3,451				13:00:00	Pahute Mesa
HOSTA	02/12/82	15:25:00.09	20-150	640	37.348	-116.317	2,076	R	668	8	2.14	7.7	2,560				2:33:54	Pahute Mesa
TENAJA	04/17/82	18:00:00.09	<20	357	37.017	-116.011	1,177	T	468	16.5	1.74	12	2,344	194	11		1:00:30	Yucca
GIBNE	04/25/82	18:05:00.01	20-150	570	37.256	-116.423	1,937	T	610	8.9	1.97	9.3	2,800				8:03:00	Pahute Mesa
KRYDDOST	05/06/82	20:00:00.08	<20	335	37.117	-116.128	1,363	T	595	12.5	1.7	16.7	2,250				3:05:00	Yucca
BOUSCHET	05/07/82	18:17:00.11	20-150	564	37.069	-116.046	1,217	T	500	21.6	1.88	0	2,575	205	17		3d1h16m18s	Yucca
KESTI	06/16/82	14:00:00.08	<20	289	37.114	-116.017	1,312	T	580	12	1.74	15.7	1,670				1:01:42	Yucca
NEBBIOLO	06/24/82	14:15:00.09	20-150	640	37.236	-116.371	2,038	R	708	8	2.08	5	3,039				15:09:00	Pahute Mesa
MONTEREY	07/29/82	20:05:00.08	20-150	400	37.102	-116.076	1,253	T	497	13.2	1.64	18.9	2,120	71	7		1:33:00	Yucca
ATRISCO	08/05/82	14:00:00.09	138	640	37.084	-116.007	1,268	T	538	20.4	1.9	0	2,571	359	34		0:21:24	Yucca
QUESO	08/11/82	15:00:00.00	<20	216	37.190	-116.049	1,310	A	578	13.3	1.6	23.4	1,442					Yucca
CERRO	09/02/82	14:00:00.09	<20	229	37.020	-116.017	1,184	A	472	11.1	1.69	22	1,580	34	1		0:11:12	Yucca
DIAMOND	ACE	09/23/82	16:00:00.09	<20	407	37.212	-116.208	1,824	T		983					Tunnel,	Rainier	Mesa
HURON LANDING	09/23/82	16:00:00.09	<20	408	37.212	-116.208	1,824	T	983	17.4	1.9	1.6	2,753					Tunnel, Rainier Mesa
FRISCO	09/23/82	17:00:00.09	20-150	451	37.175	-116.089	1,347	T	565	12.8	1.79	17.1	2,430	139	5		0:30:00	Yucca
BORREGO	09/29/82	13:30:00.10	<150	563	37.091	-116.046	1,234	T	501	17.2	1.97	0	2,620				2d1h1m48s	Yucca
SEYVAL	11/12/82	19:17:00.10	<20	366	37.024	-116.033	1,187	A	482	13	1.71	18	1,790	180	8		0:56:30	Yucca
MANTECA	12/10/82	15:20:00.09	20-150	413	37.080	-116.073	1,236	A	529	14.8	1.85	11.8	2,250	164	14	91,200	2:43:00	Yucca
COALORA	02/11/83	16:00:00.10	<20	274	37.056	-116.046	1,210	T	501	11	1.57	25	1,870				1:01:48	Yucca
CHEEDAM	02/17/83	17:00:00.09	<20	343	37.163	-116.064	1,293	T	579	10.8	1.7	19.7	1,900	116	10		1:08:00	Yucca
CABRA	03/26/83	20:20:00.09	20-150	542	37.301	-116.461	1,907	R	571	3.5	2.19	5.4	2,856				9:04:00	Yucca
TURQUOISE	04/14/83	19:05:00.12	<150	533	37.073	-116.047	1,219	T	500	22	1.87	0	2,445	234	15		0:47:24	Yucca
ARMADA	04/22/83	13:53:00.08	<20	265	37.111	-116.023	1,296	T	579	17.3	1.65	16.4	1,625	146	8		0:24:00	Yucca
CROWDIE	05/05/83	15:20:00.08	<20	390	37.146	-116.090	1,309	A	579	13.2	2.02	5.9	2,030	82	13	52,300	9:15:00	Yucca
MINI JADE	05/26/83	14:30:00.09	<20	379	37.209	-116.206	1,828	T	958	17.6	1.93	1.5	3,105					Tunnel, Rainier Mesa
FAHADA	05/26/83	15:00:00.09	<20	384	37.103	-116.007	1,312	T	600	12.6	1.83	12	2,070	166	8		0:25:18	Yucca
DANABLU	06/09/83	17:10:00.09	<20	320	37.158	-116.090	1,327	A	584	9.9	1.97	12.5	1,963	107	10		7:07:00	Yucca
LABAN	08/03/83	13:33:00.10	<20	326	37.119	-116.090	1,276	A	569	7.6	2.04	10.9	2,334	42	47	62,500	1:23:00	Yucca
SABADO	08/11/83	14:00:00.12	<20	320	36.998	-116.004	1,175	T	460	14.4	1.72	16	2,153	102	2		1:25:00	Yucca
JARLSBERG	08/27/83	14:00:00.09	<20	200	37.193	-116.035	1,318	T	519	17.1	1.68	16.2	1,754	83	7		0:15:00	Yucca
CHANCELLOR	09/01/83	14:00:00.08	143	624	37.273	-116.356	2,013	R	647	3.4	2.22	6.6	3,320				20:30:00	Pahute Mesa
TOMME/MIDNIGHT ZEPHYR	09/21/83	15:00:00.09	<20	405	37.210	-116.210	2,230	T	980	19.6	1.88	2.2	2,770				0:35:00	Tunnel, Rainier Mesa
BRANCO	09/21/83	16:25:00.08	<20	293	37.121	-116.056	1,256	A	541	12.7	1.86	11.6	1,843	112	10		1:28:00	Yucca
BRANCO HERKIMER	09/21/83	16:25:00.08	<20	427	37.121	-116.056	1,258	T	541					112	10		1:28:00	Yucca
TECHADO	09/22/83	15:00:00.12	<150	532	37.106	-116.050	1,241	T	500	23	1.84	0	2,290					Yucca
NAVATA	09/29/83	15:00:00.09	<20	183	37.053	-116.021	1,207	A	491	12.2	1.74	21	1,524				8:22:42	Yucca
MUGGINS	12/09/83	16:00:00.11	<20	244	37.013	-116.047	1,188	T	481	15.8	1.65	17	1,925	95	11		0:57:12	Yucca
ROMANO	12/16/83	18:30:00.09	20-150	515	37.140	-116.073	1,287	T	563	16.2	1.7	17	2,435	215	43		5:31:00	Yucca
GORBEA	01/31/84	15:30:00.08	20-150	388	37.113	-116.123	1,344	T	595	18.6	1.76	10	1,713	17	6			Yucca
MIDAS MYTH/MILAGRO	02/15/84	17:00:00.11	<20	361	37.221	-116.182	2,044	T	800	18.8	1.91	1.2	2,645	113	5		3:13:48	Tunnel, Rainier Mesa
TORTUGAS	03/01/84	17:45:00.09	20-150	639	37.066	-116.047	1,216	T	497	22.7	1.85	0	2,257	271	20		2:02:30	Yucca
AGRINI	03/31/84	14:30:00.08	<20	320	37.146	-116.085	1,304	A	579	11.5	1.97	10	2,071	13	69	158,000	1:47:42	Yucca
MUNDO	05/01/84	19:05:00.09	20-150	566	37.106	-116.023	1,292	T	558	21.6	1.95	0	2,740	368	21		1:01:48	Yucca
ORKNEY	05/02/84	13:50:00.09	<20	210	37.198	-116.055	1,351	A	578	8.9	2.02	12	2,300					Yucca
BELLOW	05/16/84	16:00:00.08	<20	207	37.092	-116.094	1,266	A	535	11.5	1.79	17	1,675	46	17		0:16:00	Yucca
CAPROCK	05/31/84	13:04:00.10	20-150	600	37.103	-116.049	1,237	T	500	21.4	1.87	0	2,315	249	50		4:58:00	Yucca
DUORO	06/20/84	15:15:00.09	20-150	381	37.000	-116.044	1,180	T	480	17.2	1.69	14	1,980	179	36		0:55:00	Yucca
NOMANNA	07/12/84	14:00:00.09	<20	200	37.192	-116.035	1,315	T	519	18.4	1.67	15	1,474	108	9		0:06:54	Yucca
KAPPELI	07/25/84	15:30:00.08	20-150	640	37.268	-116.412	1,982	R	652	8.3	2.14	5.9	2,931				14:22:00	Pahute Mesa
CORREO	08/02/84	15:00:00.09	<20	334	37.017	-116.009	1,182	T	470	15.3	1.75	13	2,065	188	27		0:27:30	Yucca
WEXFORD	08/30/84	14:45:00.00	<20	314	73.144	-116.126	1,376	T	434	15.6	1.69	15.5	1,822	40	4		0:27:30	Yucca
DOLCETTO	08/30/84	14:45:00.10	<20	365	37.090	-116.000	1,291	T	555	18.9	1.67	12	2,130	120	5		0:21:18	Yucca
BRETON	09/13/84	14:00:00.00	20-150	483	37.087	-116.072	1,238	T	505	16.8	1.84	9.9	2,347	208	24		7:02:00	Yucca
VERMEJO	10/02/84	18:14:00.10	<20	350	37.085	-116.054	1,229	T	509	13.8	1.67	18	2,204	51	3		1:33:54	Yucca
VILLITA	11/10/84	16:40:00.09	<20	372	37.000	-116.018	1,177	A	465	14.6	1.65	20	1,810	93	32		0:39:00	Yucca
EGMONT	12/09/84	19:40:00.09	20-150	546	37.270	-116.498	1,839	T	590	19.4	1.81	9	2,634				0:46:12	Pahute Mesa
TIENA	12/15/84	14:45:00.00	20-150	640	37.281	-116.306	2,118	R	696	3.1	2.28	8.5	3,048				10:19:00	Pahute Mesa
MINERO	12/20/84	16:20:00.11	<20	244	37.012	-116.046	1,187	T	485	17.7	1.66	15	1,900	109	12		0:25:48	Yucca
VAUGHN	03/15/85	16:31:00.10	20-150	426	37.058	-116.046	1,211	T	498	17.7	1.87	11	2,360				1:26:18	Yucca
COTTAGE	03/23/85	18:30:00.08	20-150	515	37.180	-116.090	1,362	T	570	17.7	1.91	5.4	2,460	273	39		0:18:12	Yucca
HERMOSA	04/02/85	20:00:00.09	20-150	640	37.095	-116.033	1,251	T	506	21	1.89	0	2,455	385	46		0:39:06	
MISTY RAIN	04/06/85	23:15:00.09	<20	389	37.201	-116.208	2,212	T	964	20.2	1.86	1.2	2,701					Tunnel, Rainier Mesa
TOWANDA	05/02/85	15:20:00.08	20-150	660	37.253	-116.326	2,085	T	614	18	2	0	3,085				2:39:00	Pahute Mesa
SALUT	06/12/85	15:15:00.06	20-150	608	37.248	-116.490	1,873	R	622	6.2	2.14	4	3,717				10:19:00	Pahute Mesa
VILLE	06/12/85	17:30:00.09	<20	293	37.088	-116.085	1,250	T	535	18.6	1.53	22.3	1,918	120	17		0:28:00	Yucca
MARIBO	06/26/85	18:03:00.08	<20	381	37.124	-116.123	1,352	T	550	17.1	1.55	22.5	2,008				1:16:00	Yucca
SERENA	07/25/85	14:00:00.09	20-150	597	37.297	-116.439	1,942	R	607	7.3	2.17	6.8	3,150				12:06:00	Pahute Mesa
CEBRERO	08/14/85	13:00:00.08	<20	183	37.111	-116.015	1,316	T	560	11.4	1.32	40	1,551					Yucca
CHAMITA	08/17/85	16:25:00.09	<20	332	37.002	-116.044	1,181	T	477	15.1	1.68	16	1,950	152	21		1:10:24	Yucca
PONL	09/27/85	14:15:00.08	<20	365	37.090	-116.003	1,284	T	550	18.3	1.72	10	2,455	111	3		0:20:42	Yucca
MILL YARD	10/09/85	21:40:00.13	<20	371	37.209	-116.206	2,203	T	950	20.2	1.85	1.8	2,575					Tunnel, Rainier Mesa
DIAMOND BEECH	10/09/85	23:20:00.09	<20	404	37.210	-116.211	2,230	T	980	16.7	1.89	1.7	2,447					Tunnel, Rainier Mesa
ROQUEFORT	10/16/85	21:35:00.09	20-150	415	37.110	-116.122	1,341	T	590	22.2	1.45	23.6	2,175	134	9		1:36:00	Yucca
ABO	10/30/85	16:00:00.09	<20	196	37.051	-116.037	1,202	A	497	11.4	1.83	14	1,565					Yucca
KINIBITO	12/05/85	15:00:00.07	20-150	579	37.053	-116.046	1,208	T	485	16	1.99	0	2,640	216	11		4:06:53	Yucca
GOLDSTONE	12/28/85	19:01:00.09	20-150	549	37.238	-116.474	1,887	R	596	4.1	2.07	11.8	3,653					Pahute Mesa
GLENCOE	03/22/86	16:15:00.08	29	610	37.083	-116.067	1,233	T	522	17.3	1.98	0	2,695				1d21h13m	Yucca
MIGHTY OAK	04/10/86	14:08:30.10	<20	394	37.218	-116.184	2,084	T	834	18.7	1.92	1.2	2,731					Tunnel, Rainier Mesa
MOGOLLON	04/20/86	15:12:30.07	<20	259	37.012	-116.047	1,187	T	480	13.6	1.68	18	1,820	88	5		0:51:00	Yucca
JEFFERSON	04/22/86	14:30:00.09	20-150	609	37.264	-116.441	1,955	R	625	8.5	2.05	4.4	3,448				2:25:00	Pahute Mesa
PANAMINT	05/21/86	13:59:00.08	<20	480	37.125	-116.061	1,259	T	530	9.6	1.9	15.1	2,219				0:18:36	Yucca
TAJO	06/05/86	15:04:00.06	20-150	518	37.098	-116.016	1,289	T	554	17.5	1.82	5	2,580	297	31		0:20:10	Yucca
DARWIN	06/25/86	20:27:45.09	20-150	549	37.265	-116.500	1,849	T	574	20.3	1.88	3.4	2,401	103	11		14:25:48	Pahute Mesa
CYBAR	07/17/86	21:00:00.06	119	627	37.279	-116.356	2,017	R	645	6	2.14	4	2,835				8:30:40	Pahute Mesa
COMUCOPIA	07/24/86	15:05:00.09	<20	381	37.143	-116.072	1,287	A	561	16.3	1.8	11.4	1,903	138	17		8:59:12	Yucca
GALVESTON	09/04/86	16:09:00.06	<20	487	37.240	-116.369	2,018	R	695	2	2.17	8	3,160				17:02:59	Pahute Mesa
ALEMAN	09/11/86	14:57:00.11	<20	503	37.069	-116.051	1,218	T	500	20	1.9	0					2,880	Yucca
LABQUARK	09/30/86	22:30:00.10	20-150	616	37.300	-116.308	2,100	R	641	7.3	2.2	5.1	3,046				3:51:18	Pahute Mesa
BELMONT	10/16/86	19:25:00.09	20-150	605	37.220	-116.463	1,871	T	613	21.6	1.86	4.1	2,562				1:27:00	Pahute Mesa
GASCON	11/14/86	16:00:00.07	20-150	593	37.100	-116.049	1,236	T	505	20	1.91	0	2,500	288	33		4:02:42	Yucca
BODIE	12/13/86	17:50:05.09	20-150	635	37.263	-116.413	1,991	T	652	10.8	2.08	5.5	3,346				11:47:00	Pahute Mesa
HAZEBROOK APRICOT (ORANGE)	02/03/87	15:20:00.08	<20	262	37.181	-116.049	1,291	A	570	15.7	1.86	10.4	1,911					Yucca
HAZEBROOK CHECKERBERRY (RED)	02/03/87	15:20:00.08	<20	226	37.181	-116.049	1,291	A	570	11.7	2.09	5.2	2,006					Yucca
HAZEBROOK EMERALD (GREEN)	02/03/87	15:20:00.08	<20	186	37.181	-116.049	1,291	A	570	11.2	2.10	5.6	2,231					Yucca
TOMERO	02/11/87	16:45:00.07	<20	298	37.011	-116.046	1,186	T	480	15	1.7	15	2,100	133	9		0:21:50	Yucca
MIDDLE NOTE	03/18/87	18:28:00.09	<20	399	37.210	-116.209	2,223	T	575	18.8	1.89	1.2	2,513					Tunnel, Rainier Mesa
DELAMAR	04/18/87	13:40:00.00	20-150	544	37.248	-116.510	1,875	T	580	16	1.99	3.6	2,838	180	19		10:49:00	Pahute Mesa
PRESIDIO	04/22/87	15:00:00.09	<20	320	36.983	-116.005	1,171	T	457	17	1.66	15	2,190				1:42:47	Yucca
HARDIN	04/30/87	13:30:00.09	20-150	625	37.233	-116.424	1,943	T	633	21.7	1.85	2.6	3,221				2:01:00	Pahute Mesa
BRIE	06/18/87	15:20:00.08	<20	203	37.194	-116.036	1,318	T	519	18.1	1.69	14	1,327	108	10		0:17:00	Yucca
MISSION GHOST	06/20/87	16:00:00.18	<20	321	37.220	-116.179	2,017	T	761	20	1.9	0	2,500					Tunnel, Rainier Mesa
PANCHUELA	06/30/87	16:05:00.10	<20	320	36.999	-116.044	1,179	A	428	11	1.85	15	1,770	167	21		0:18:26	Yucca
MIDLAND	07/16/87	19:00:00.08	20-150	487	37.104	-116.024	1,284	T	556	16	1.83	8	2,770	213	4		0:23:30	Yucca
TAHOKA	08/13/87	14:00:00.09	20-150	639	37.061	-116.046	1,212	T	493	21.5	1.88	0	2,260	315	23		2:25:45	Yucca
LOCKNEY	09/24/87	15:00:00.06	20-150	614	37.228	-116.376	2,045	T	721	2	2.26	5	4,500				5:46:12	Pahute Mesa
BORATE	10/23/87	16:00:00.09	20-150	542	37.142	-116.080	1,294	A	567	16.3	1.87	8.8	2,004	208	26		2:34:00	Yucca
WACO	12/01/87	16:30:00.09	<20	183	36.996	-116.005	1,176	A	460	9	1.71	22	1,740					Yucca
MISSION CYBER	12/02/87	16:30:00.08	<20	271	37.235	-116.164	1,926	T	675	18.6	1.9	1.8	2,990					Tunnel, Rainier Mesa
KERNVILLE	02/15/88	18:10:00.09	20-150	542	37.314	-116.472	1,899	T	561	22.5	1.74	6	1,951	122	12		0:26:06	Pahute Mesa
ABILENE	04/07/88	17:15:00.08	<20	245	37.013	-116.045	1,187	T	482	11	1.75	17	1,905	97	8		0:14:52	Yucca
SCHELLBOURNE	05/13/88	15:35:00.11	<150	463	37.124	-116.073	1,268	A	541	15.4	1.92	7.1	2,269	219	29		3:12:57	Yucca
LAREDO	05/21/88	22:30:00.14	<150	351	37.032	-115.988	1,220	T	510	13	1.65	18	2,110	34	8			Yucca
CORNSTOCK	06/02/88	13:00:00.09	<150	620	37.260	-116.442	1,960	R	626	7.2	2.18	0	3,653	55	9		2:48:00	Pahute Mesa
NIGHTINGALE	06/22/88	14:00:00.08	<150	238	37.166	-116.073	1,309	A	572	22	1.59	16	1,673					Yucca
RHYOLITE	06/22/88	14:00:00.08	<150	207	37.166	-116.073	1,309	A	572	14.6	1.84	11.3	1,747					Yucca
ALAMO	07/07/88	15:05:30.07	<150	622	37.252	-116.378	1,964	R	624	4.5	2.28	9.5	3,270	7:46:48				Pahute Mesa
KEARSARGE	08/17/88	17:00:00.09	100-150	616	37.297	-116.307	2,102	R	700	8	2.14	7.3	3,863	98	4	9,800	5:15:00	Pahute Mesa
HARLINGEN A	08/23/88	18:30:00.08	<20	290	36.991	-116.019	1,175	A	461	14	1.67	20	1,500				4:22:12	Yucca
HARLINGEN B	08/23/88	18:30:00.08	<20	290	36.989	-116.019	1,175	A	461	14	1.67	20	1,500	122	11		2:33:50	Yucca
BULLFROG	08/30/88	18:00:00.09	<150	489	37.086	-116.069	1,236	T	500	15.8	1.96	3.6	2,474	182	12		1:03:30	Yucca
DALHART	10/13/88	14:00:00.08	<150	640	37.089	-116.050	1,229	T	508	18.3	1.95	0	2,180				2:18:07	Yucca
MONAHANS A	11/09/88	20:15:00.08	<20	290	36.991	-116.022	1,175	A	461	11.8	1.73	19	1,590				2:48:15	Yucca
MONAHANS B	11/09/88	20:15:00.08	<20	290	36.989	-116.022	1,174	A	461	11.8	1.73	19	1,590				3:50:25	Yucca
KAWICH BLUE	12/09/88	15:15:00.08	<20	384	37.175	-116.093	1,357	T	540									Yucca
KAWICH WHITE	12/09/88	15:15:00.08	<20	369	37.175	-116.093	1,357	T	540									Yucca
MISTY ECHO	12/10/88	20:30:00.06	<150	400	37.199	-116.210	2,232	T	975	19.1	1.91	1.4	2,860				0:42:29	Tunnel, Rainier Mesa
TEXARKANA	02/10/89	20:06:00.06	20-150	503	37.077	-116.001	1,267	T	519	18.3	1.83	5	2,230	274	16		0:20:21	Yucca
KAWICH BLACK	02/24/89	16:15:00.08	<20	431	37.128	-116.123	1,352	T	530	17.7		1.2	1,905	28			1:10:00	Yucca
KAWICH RED	02/24/89	16:15:00.08	<20	370	37.128	-116.123	1,352	T	530	18.0	1.69	13	2,035	28			1:10:00	Yucca
INGOT	03/09/89	14:05:00.09	20-150	500	37.143	-116.068	1,280	T	565	13.3	1.92	8	2,459	276	12		0:45:00	Yucca
PALISADE 1	05/15/89	13:10:00.09	<20	335	37.108	-116.122	1,338	T	590	18.6	1.65	15.9	1,836	93	8		0:50:00	Yucca
PALISADE 2	05/15/89	13:10:00.09	<20	390	37.108	-116.122	1,338	T	590	18.6	1.65	15.9	1,836	93	8		0:50:00	Yucca
PALISADE 3	05/15/89	13:10:00.09	<20	404	37.108	-116.122	1,338	T	590	18.6	1.65	15.9	1,836	93	8		0:50:00	Yucca
TULIA	05/26/89	18:07:00.02	<20	398	37.086	-116.056	1,230	T	500	13.2	1.66	20	2,310				1:47:12	Yucca
CONTACT	06/22/89	21:15:00.08	20-150	544	37.283	-116.413	1,980	R	636	13.9	1.98	0.2	4,184				2:46:00	Pahute Mesa
AMARILLO	06/27/89	15:30:00.02	20-150	640	37.275	-116.354	2,019	R	649	4.4	2.23	3	2,995				20:06:42	Pahute Mesa
DISKO ELM	09/14/89	15:00:00.10	<20	261	37.236	-116.164	1,917	T	666	18.9		1.4	3,040					Tunnel, Rainier Mesa
HORNITOS	10/31/89	15:30:00.09	20-150	564	37.263	-116.492	1,846	T	569	23	1.88	0.7	2,339	164	17		9:10:00	Pahute Mesa
MULESHOE	11/15/89	20:20:00.12	<20	244	37.106	-116.014	1,311	T	575	12	1.6	23	1,790				0:13:29	Yucca
BAMWELL	12/08/89	15:00:00.09	20-150	601	37.231	-116.410	2,031	T	661	19.1	1.94	1.2	3,355				2:00:08	Pahute Mesa
WHITEFACE A	12/20/89	22:00:00.06	<20	197	37.026	-116.032		A	488	11.5	1.7	21	1,530					Yucca
WHITEFACE B	12/20/89	22:00:00.06	<20	183	37.026	-116.032		A	488	11.5	1.7	21	1,530					Yucca
METROPOLIS	03/10/90	16:00:00.08	20-150	469	37.112	-116.056	1,246	T	479	22.8	1.64	11.7	2,073	268	12		1:26:00	Yucca
BOWLE	04/06/90	17:00:00.04	<20	213	37.068	-116.993	1,271	T	540	14	1.6	21	1,750				0:11:00	Yucca
BULLION	06/13/90	16:00:00.09	20-150	674	37.262	-116.421	1,950	T	621	24.1	1.84	2.1	3,059				0:59:00	Pahute Mesa
AUSTIN	06/21/90	18:15:00.00	<20	350	36.993	-116.005	1,174	T	457	7	1.68	25	1,920				1:23:00	Yucca
MINERAL QUARRY	07/25/90	15:00:00.06	<20	389	37.207	-116.215	2,216	T	975	20.1	1.88	1.5	2,920					Tunnel, Rainier Mesa
RANDSBURG	07/25/90	15:00:00.06	<20	389	37.207	-116.215	2,216	T	975	20.1	1.88	2	2,920					Tunnel, Rainier Mesa
SUNDOWN A	09/20/90	16:15:00.00	<20	270	37.038	-116.058	1,206	A	490	12.8	1.82	14	1,940					Yucca
SUNDOWN B	09/20/90	16:15:00.00	<20	256	37.038	-116.058	1,206	A	490	12.8	1.86	12	1,900					Yucca
LEDOUX	09/27/90	18:02:46.00	<20	291	37.008	-116.059	1,191	A	500	8.6	1.94	15	1,890					Yucca
TENABO	10/12/90	17:30:00.08	20-150	600	37.248	-116.495	1,871	T	620	20.7	1.95	0					2,809	Pahute Mesa
HOUSTON	11/14/90	19:17:00.07	20-150	594	37.227	-116.372	2,031	T	707	2.3	2.31	4	4,160				4:20:00	Pahute Mesa
COSO BRONZE	03/08/91	21:02:45.08	<20	333	37.104	-116.075	1,254		495	8.6	1.93	11.7	2,222	90	10		0:36:00	Yucca
COSO GRAY	03/08/91	21:02:45.08	<20	442	37.104	-116.075	1,254		495	8.6	1.93	11.7	2,222	90	10		0:36:00	Yucca
COSO SILVER	03/08/91	21:02:45.08	<20	475	37.104	-116.075	1,254	T	495	8.6	1.93	11.7	2,222	90	10		0:36:00	Yucca
BEXAR	04/04/91	19:00:00.00	20-150	629	37.296	-116.314	2,118	R	705	10	2.13	4	3,470				5:41:00	Pahute Mesa
MONTELLO	04/16/91	15:30:00.07	20-150	642	37.245	-116.443	1,961	T	650	18.9	1.95	0	3,339				4:09:30	Pahute Mesa
FLOYDADA	08/15/91	16:00:00.00	<20	503	37.087	-116.003	1,280	T	544	16	1.87	7	2,350				0:18:20	Yucca
HOYA	09/14/91	19:00:00.08	20-150	658	37.226	-116.429	1,951	T	675	23	1.83	0	2,546				1:35:49	Pahute Mesa
DISTANT ZENITH	09/19/91	16:30:00.07	<20	264	37.236	-116.167	1,921	T	669	19.2	1.89	1.4	2,976					Tunnel, Rainier Mesa
LUBBOCK	10/18/91	19:12:00.00	20-150	457	37.063	-116.046	1,213	T	503	19.2	1.84	4.5	2,340				4:08:00	Yucca
BRISTOL	11/26/91	18:35:00.07	<20	457	37.096	-116.070	1,246	T	500	22.8	1.87	2.6	2,366					Yucca
JUNCTION	03/26/92	16:30:00.00	20-150	622	37.272	-116.361	2,013	R	641	5.8	2.15	4	2,930					Pahute Mesa
DIAMOND FORTUNE	04/30/92	16:30:00.00	<20	236	37.234	-116.158	1,656	T	647	20.9	1.72	5.3	2,996					Tunnel, Rainier Mesa
VICTORIA	06/19/92	16:45:00.00	<20	244	37.005	-116.011	1,179	A	474	12.0	1.61	24	1,610					Yucca
GALENA GREEN	06/23/92	15:00:00.07	<20	400	37.124	-116.032	1,269	T	558	21.7	1.64	11.8	2,128	134	8		0:17:00	Yucca
GALENA ORANGE	06/23/92	15:00:00.07	<20	380	37.124	-116.032	1,269	T	558	21.7	1.64	11.8	2,128	134	8		0:17:00	Yucca
GALENA YELLOW	06/23/92	15:00:00.07	<20	290	37.124	-116.032	1,269	T	558	21.7	1.64	11.8	2,128	134	8		0:17:00	Yucca
HUNTERS TROPHY	09/18/92	17:00:00.08	<20	385	37.207	-116.211	1,827	T	960	18.4	1.94	1	2,608					Tunnel, Rainier Mesa
DIVIDER	09/23/92	15:04:00.00	<20	340	37.021	-115.989	1,208	T	483	17.0	1.73	10	2,140					Yucca
